Sail Date.,QTY.(KGS)
2019-02-18,367618
2019-02-19,2189633
2019-02-20,844731
2019-02-22,1202640
2019-02-25,239982
2019-02-26,1083891
2019-02-27,2002638
2019-02-28,174908
2019-03-01,15000
2019-03-02,169674
2019-03-04,220133
2019-03-05,1208442
2019-03-06,412210
2019-03-07,1360903
2019-03-08,487889
2019-03-09,1104571
2019-03-11,469899
2019-03-12,2466111
2019-03-13,322224
2019-03-14,52000
2019-03-15,785100
2019-03-17,61550
2019-03-18,1159853
2019-03-19,1871256
2019-03-20,1050785
2019-03-22,1044358
2019-03-23,872873
2019-03-24,104250
2019-03-25,515081
2019-03-26,1850884
2019-03-27,39925
2019-03-28,1566029
2019-03-29,1045575
2019-03-30,598106
2019-04-01,940409
2019-04-02,1318986
2019-04-03,1236010
2019-04-05,20072
2019-04-06,1869609
2019-04-07,398358
2019-04-09,185406
2019-04-10,1430166
2019-04-11,696678
2019-04-12,110631
2019-04-15,254730
2019-04-16,1508681
2019-04-17,52976
2019-04-19,879888
2019-04-20,558466
2019-04-21,66000
2019-04-22,390199
2019-04-23,1237884
2019-04-24,621751
2019-04-25,405517
2019-04-26,812451
2019-04-29,1688377
2019-04-30,1301554
2019-05-02,769136
2019-05-03,736557
2019-05-04,2142533
2019-05-05,391165
2019-05-06,758523
2019-05-07,494803
2019-05-08,956275
2019-05-09,1989300
2019-05-11,1232391
2019-05-13,1100560
2019-05-14,1232487
2019-05-15,56576
2019-05-16,15000
2019-05-17,323449
2019-05-18,828611
2019-05-20,1008585
2019-05-21,1362330
2019-05-22,324857
2019-05-24,1542150
2019-05-25,47878
2019-05-27,1082551
2019-05-28,1323855
2019-05-29,689709
2019-05-31,1283029
2019-06-02,53877
2019-06-04,43000
2019-06-05,145803
2019-06-06,367894
2019-06-07,10374
2019-06-08,1207942
2019-06-09,757235
2019-06-10,33113
2019-06-11,81504
2019-06-12,682633
2019-06-14,379336
2019-06-15,1295285
2019-06-17,262391
2019-06-18,1977732
2019-06-19,86988
2019-06-20,970351
2019-06-21,434924
2019-06-24,1443258
2019-06-25,1557959
2019-06-26,254017
2019-06-27,560400
2019-06-28,1678928
2019-06-30,153920
2019-07-01,266878
2019-07-04,132940
2019-07-05,958573
2019-07-06,1401757
2019-07-07,443177
2019-07-08,1908340
2019-07-10,1344723
2019-07-15,946283
2019-07-16,1346992
2019-07-17,481246
2019-07-18,973233
2019-07-19,1595535
2019-07-20,110000
2019-07-21,806107
2019-07-22,390052
2019-07-23,14000
2019-07-24,342624
2019-07-25,1970126
2019-07-27,495262
2019-07-28,602463
2019-07-29,124413
2019-07-30,1359088
2019-07-31,1294107
2019-08-01,1388964
2019-08-02,248142
2019-08-03,1329953
2019-08-04,350293
2019-08-05,1430119
2019-08-07,1436422
2019-08-09,563170
2019-08-10,1873772
2019-08-11,1233067
