Exporter Name,Address,State,pin,2015,2016,2017,2018,2019,2020,2021,2022,2023,Taluk,District
PYARY PRODUCTS,"X83H+P32, SH15, Chambakkara, Upasana Nagar, Vyttila, Kochi, Kerala 682304, India",Kerala,682304,1122985,1793551,1477714,1280539,1670333,2258010,2123543,2601689,3299330,Ernakulam,Ernakulam
QUALIMED SYSTEMS,"GW32+P4Q Titanium P.O, Kochuveli Industrial Area, Thiruvananthapuram, Kerala 695021, India",Kerala,695021,1835,0,2600,14085,8855,6990,11825,3010,9675,Thiruvananthapuram,Thiruvananthapuram
QUALITY MACHINERY SUPPLIES,"213, Ranga Konar St, Anupperpalayam, Ram Nagar, Coimbatore, Tamil Nadu 641009, India",Tamil Nadu,641009,800,1550,0,0,3871,0,0,0,0,Coimbatore South,Coimbatore
R.B.R. GARMENTS,"RBR GARMENTS PRIVATE LIMITED, 177/3A1, PACHANKATTUPALAYAM, Arulpuram, Tiruppur, Tamil Nadu 641605, India",Tamil Nadu,641605,24012,31313,49383,37967,12467,0,0,49738,81668,Kangayam,Erode
R.F. EXPORTS,"Eramalloor,, Chandiroor, Alappuzha, Kerala 688537, India",Kerala,688537,2071952,2653742,2549390,3401208,3306954,3614404,4385239,4046554,2562877,Cherthala,Alappuzha
R.S.A MARINES,"Old, NH road, Chandiroor, Cherthala, Kerala 688547, India",Kerala,688547,283158,1131940,2035158,1444591,998632,1188645,1152740,365500,363000,Cherthala,Alappuzha
RAAGAM EXPORTS,"SF No.252, Kangayam Rd, Nallur, Tiruppur, Tamil Nadu 641606, India",Tamil Nadu,641606,80221,39811,46943,18576,11808,18253,4936,8713,50017,Tiruppur,Coimbatore
RABITHA EXPORTS,"VI/35, Jew Town, Kappalandimukku, Mattancherry, Kochi, Kerala 682002, India",Kerala,682002,52594,22906,0,20130,3543,58675,105514,79683,35298,Kochi,Ernakulam
RAJ EXIM,"No: 3, Balaji Street Bypass Road, M.M.C.Colony, MGM Nagar, Avaniyapuram, Tamil Nadu 12, India",Tamil Nadu,688524,12126,12600,19200,0,199,0,0,9657,0,Cherthala,Alappuzha
RAJKUMAR IMPEX P.LTD.,"18/1, Vagaikulam Srivaikuntam Express Rd, Tannuthu, Tamil Nadu 628851, India",Tamil Nadu,628851,14000,0,0,0,0,19315,0,0,0,Srivaikuntam,Tuticorin
RAJPRIYA EXPORTS,"# 1, 7th St, 1st Street, Kumaranandapuram, Tiruppur, Tamil Nadu 641602, India",Tamil Nadu,641602,6897,11281,23468,56535,41942,15306,7200,30761,34782,Tiruppur,Coimbatore
RALISH EXPORTS,"Aathuppalayam, 582F+VQ2, Aathuppalayam, Tiruppur, Tamil Nadu 641652, India",Tamil Nadu,641652,20,0,0,0,0,0,0,0,0,Tiruppur,Coimbatore
RAM BAHADUR THAKUR KERALA P. LTD.,"Kerala, India",Kerala,688534,825,0,0,0,0,0,0,0,0,Cherthla,Alappuzha
RAM COIR MILLS,"271/CMC 5, Nedumprakkad, P85X+MC8, Cherthala, Kerala 688524, India",Kerala,688524,4763871,5457897,6629300,7195080,4168988,4509927,4977764,3216635,1922972,Cherthala,Alappuzha
RAMLA MATCH WORKS,"4F2Q+7GR, Vattakattupady, Perumbavoor, Kerala 683542, India",Kerala,683542,132998,0,0,0,0,0,0,0,0,Kunnathunad,Ernakulam
RANGAA FABRICS,"636006, Kanchi Nagar, Seelanaickenpatti, Salem, Tamil Nadu 636006, India",Tamil Nadu,636006,1820,13162,14626,0,0,0,0,0,0,Salem,Salem
RANI DRUG HOUSE,"Anandapuram Nellayi Rd, Ponkothra, Kerala 680305, India",Kerala,680305,4542,0,0,142,853,0,0,0,0,Mukundapuram,Thrissur
RANJINI TEXTILES,"Neerkadavu Beach Rd, Azhikode South, Kerala 670009, India",Kerala,670009,27877,13447,7357,7103,6109,9390,10616,5658,783,Kannur,Kannur
RATTIKA(GMR)TEXTILES,"30/2A, Nehru Street, Ring Road, Swarnapuri Avenue, Velampalayam, Tiruppur, A.Thirumuruganpoondi, Tamil Nadu 641652, India",Tamil Nadu,641652,44019,22588,20672,22406,3200,0,5525,3037,19068,Tiruppur,Coimbatore
RAY TECHNOSYS,"No. 3/ 33, West, North Chalakudy, Chalakudy, Kerala 680307, India",Kerala,680307,5040,0,5380,4800,0,0,0,0,0,Mukundapuram Taluk,Thrissur
REAL TEXTILES,"No.45-A, Raakiapalayam road, Kumaran Colony, Ammapalayam, Avinashi, Tamil Nadu 641603, India",Tamil Nadu,641603,6562,4663,5283,1192,0,6834,0,724,1676,Tiruppur,Coimbatore
RELISH CUSTOM FOOD,"Beach Road, Valanjavazhy, Kerala 688005, India",Kerala,688005,131534,0,79000,52000,55000,49516,90563,77574,28624,Ambalappuzha,Alappuzha
RESHMI INDUSTRIES INDIA P.LTD.,"Reshmi Industries, Anna Private Industrial Estate, Bharathi Nagar, Coimbatore, Tamil Nadu 641006, India",Tamil Nadu,641006,9670,2000,2000,0,0,0,4718,0,0,Coimbatore North,Coimbatore
RISHAN APPARELS,"11.098503, 77.355679, Kumarasamy Colony, Tiruppur, Pudhukkadu, Tamil Nadu 641604, India",Tamil Nadu,641604,10858,4589,0,0,0,0,0,0,0,Tiruppur,Coimbatore
ROOSTER TRADERS,"39PM+XQ2, Sanjo Gardens, Kulakkad, Kerala 683112, India",Kerala,683112,901,0,0,0,0,266,0,1470,0,Kunnathunad,Ernakulam
ROOTS IMPEX,"No:6,Ramabiran Colony, Dharapuram Road,, Pudur Privu, Tiruppur, Tamil Nadu 641608, India",Tamil Nadu,641608,132573,153808,132861,88467,95577,41558,73063,77562,19921,Pudur Privu,Tiruppur
ROYAL BRAND INTERNATIONAL EXPORTERS,"Kodungallur Eriyad Rd, Eriyad, Kerala 680666, India",Kerala,680666,277137,468538,530144,579988,907721,935882,864909,461559,881324,Kodungallur,Thrissur
ROYAL CLASSIC MILLS (P)LTD.,"No . 31, Puliyamarathottam, Mangalam Rd, SR Nagar, Periyandipalayam, Tiruppur, Tamil Nadu 641604, India",Tamil Nadu,641604,31017,46034,13794,12561,67540,633,0,0,0,Tiruppur,Coimbatore
ROYAL FOOD EXPORTERS,"VHGX+VFG, KP Appan Rd, Kilikollore.P.O, Mundakkal Village, Kollam, Kerala 691001, India",Kerala,691001,285000,178000,136751,45000,47875,94626,8999,0,0,Kollam,Kollam
ROYAL MARINE EXPORTS,"R8V5+M94, Chandiroor, Kerala 688535, India",Kerala,688535,19000,0,0,0,0,0,0,0,1143740,Cherthala,Alappuzha
RSM AUTOKAST LTD.,"603, Pioneer Complex, C Block, 1075, Avinashi Rd, Coimbatore, Tamil Nadu 641018, India",Tamil Nadu,641018,11805,26818,39797,12423,0,4672,0,0,0,Coimbatore South,Coimbatore
RUBEK BALLOONS P.LTD.,"Airapuram, Kerala 683556, India",Kerala,683556,14944,12876,15159,9551,370,0,0,314,0,Kunnathunad,Ernakulam
RURAL COIR INDUSTRIES,"Mattathil Muhamma, Aryakara, Alappuzha, Muhamma, Kerala 688525, India",Kerala,688525,35768,11666,0,8364,27632,19917,21338,21412,17444,Cherthala,Alappuzha
S.G.GARMENTS,"S F No-707, B/2b, Dharapuram Road, Opposite M P Petrol Bunk, Dharapuram Road, K Chettipalayam, Tiruppur, Tamil Nadu 641608, India",Tamil Nadu,641608,8684,0,0,0,0,0,0,0,5695,Chettipalayam,Tiruppur
S.H.MARINE EXIM,"W74W+75F, Aroor Thoppumpady Rd, NH 47, Bakery, Edakochi, Kochi, Kerala 682010, India",Kerala,682010,1567621,1905730,3369463,3622660,1799020,2346509,2282224,1802456,1028350,Kochi,Ernakulam
S.K.GARMENTS,"Kallampalayam Layout,, 24, 2nd St, Kumarapapuram, Rayapuram, Tiruppur, Tamil Nadu 641687, India",Tamil Nadu,641687,10176,8781,0,0,21957,0,4055,917,0,Tiruppur,Coimbatore
S.L.S.EXPORTS P.LTD.,"22/1377, Old NH, Edakochi, Kochi, Kerala 682010, India",Kerala,682010,3276789,3764611,2787369,3324070,2813071,2052069,2663800,3156584,3384672,Kochi,Ernakulam
S.M.FASHION WEAR,"No.608/2 2A, Sivasakthi Nagar, 2nd Cross Near Sevanthampalayam, Muthanampalayam(P.O), Ponmuthu Nagar, Tiruppur, Tamil Nadu 641608, India",Tamil Nadu,641608,90933,347453,120223,240565,70902,572590,282159,367275,312463,Ponmuthu Nagar,Tiruppur
S.M.KNITS,"49X7+6J3, near Majestic Convent, Guruvayurappan Nagar, Poyampalayam, Tiruppur, Tamil Nadu 641603, India",Tamil Nadu,641603,17267,0,15384,0,0,6281,0,0,0,Tiruppur,Coimbatore
S.M.R.EXPORTS,"54-A 2nd Floor JV Compound, Gandhi Rd, Anupparpalayam Pudur, Tiruppur, A.Thirumuruganpoondi, Tamil Nadu 641652, India",Tamil Nadu,641652,16519,8720,8445,0,16602,29161,4521,4833,8857,Tiruppur,Coimbatore
S.P.L.TEXTILES,"73/a molan thottam, Velampalayam, A.Thirumuruganpoondi, Tamil Nadu 641652, India",Tamil Nadu,641652,102350,129850,71769,18369,38683,26714,3580,0,0,Tiruppur,Coimbatore
S.P.V.DESIGNS,"G8CJ+JX3, Thalavady, Thiruvilak, Vyasapuram, Alappuzha, Aryad South, Kerala 688008, India",Kerala,688008,160735,86007,115920,46371,46508,14535,33942,7502,51270,Ambalapuzha,Alappuzha
S.R.EXPORTS,"42 Lakshmipuram, 1st Floor, 4th St, Madurai, Tamil Nadu 625001, India",Tamil Nadu,625001,52203,0,0,0,0,0,0,0,0,Madurai South,Madurai
S.S.APPARELS,"13/16, Thirumalai Nagar South 2nd Street, MGR NAGAR 3RD St, Tirumalai, Off, Tiruppur, Tamil Nadu 641602, India",Tamil Nadu,641602,14569,34653,17119,25925,26983,39814,69593,66616,44423,Tiruppur,Coimbatore
S.S.METALS,"Sai Buildings, Convent Road, T.D. Road, Convent Junction, Near Laboratory Junction, Shenoys, Kochi, Kerala 682011, India",Kerala,682011,8800,0,0,0,0,0,0,0,0,Ernakulam,Ernakulam
SAAZ INTERNAIONAL,"9/6-a, Vinayagapuram, I Street, Rayapuram Extension, Rayapuram, Tiruppur, Tamil Nadu 641601, India",Tamil Nadu,641601,49217,25059,23186,39412,10088,12639,9476,15623,35228,Avinashi,Coimbatore
SABARE INTERNATIONAL,"14, 4th Cross Rd, Kamarajapuram, Karur, Tamil Nadu 639002, India",Tamil Nadu,639002,15000,0,0,0,0,0,0,0,0,Aravakurichi,Karur
SABEEBA TRADERS,"No.39, 84, Malayaperumal Street, Parrys, George Town, Chennai, Tamil Nadu 600001, India",Tamil Nadu,600001,2380,0,0,0,0,0,0,0,0,George Town,Chennai
SAFAR RUBBERS,"5VHR+J8C, Neelangoth, Kerala 673637, India",Kerala,673637,8022,0,0,0,0,0,0,0,0,Ernad,Malappuram
SAFERA FOOD INTERNATIONAL,"V7P6+FFH, SH66, Cheriakadavu, Kannamaly, Chellanam, Kochi, Kerala 682008, India",Kerala,682008,1313123,1992971,1859392,1770897,1482300,1281479,2658913,2808754,2115464,Kochi,Ernakulam
SAI AGRO PRODUCTS,"Unnamed Road, H325+W9V, Tamil Nadu 637501, India",Tamil Nadu,637501,112000,0,0,0,0,0,0,12360,0,Salem,Salem
SAIDA TRADING COMPANY,"WJ7W+J26, Peroor, Kottamkara, Kerala 691005, India",Kerala,691005,196752,90000,66576,0,0,0,0,0,0,Kollam,Kollam
SAIT EXIM CO.,"Vikas Rd, Karuvelipady, Thoppumpady, Kochi, Kerala 682002, India",Kerala,682002,558350,85601,165202,54000,0,0,224641,372830,483790,Kochi,Ernakulam
SAKTHI POLYMERS,"no 378, 2nd St Ext, 2nd Street Extension, Gandhipuram, Coimbatore, Tamil Nadu 641012, India",Tamil Nadu,641012,411,0,0,0,0,247114,109886,0,0,Coimbatore South,Coimbatore
SALFA CHEMICALS,"Binanipuram, Edayar, Dubai, Kerala 683502, India",Kerala,683502,315000,415500,618000,578169,692600,456335,716700,182300,413600,Paravur,Ernakulam
SALORAA FABS,"Shed no.14 & 15, TEKIC, Tea nagar, Mudalipalayam SIDCO Rd, Tiruppur, Tamil Nadu 641606, India",Tamil Nadu,641606,1586,0,0,0,0,0,0,5323,0,Tiruppur,Coimbatore
SALWA EXPORTS,"Perinjanam, Kaipamangalam, Moonnupeedika, Kerala 680686, India",Kerala,680686,3574,1065,1995,0,0,0,0,0,0,Kodungallur,Thrissur
SAMEX AGENCY,"2944+V2F, Amaravathi Nagar, Bodinayakanur, Meenakshipuram, Tamil Nadu 625513, India",Tamil Nadu,625513,714130,689944,349038,0,0,0,0,0,0,Bodinayakanur,Theni
SAMRAT MIDDLE EAST EXPORTS P. LTD.,"W7M8+3R3, Thoppumpady, Kochi, Kerala 682005, India",Kerala,682005,92036,328693,441864,492500,0,0,0,0,0,Kochi,Ernakulam
SAMUDRA SHIPYARD P.LTD.,"Aroor gram panchayat, Kochi, Kerala 688534, India",Kerala,688534,365,0,0,0,0,0,2712,0,0,Cherthla,Alappuzha
SAN MARINE EXPORTS,"Sakthikulangara North, Kollam, Kerala 691581, India",Kerala,691581,1341722,1695462,1789629,1213896,1048400,924600,644839,840710,528250,Kollam,Kollam
SANGEETHA PATTERN WORKS,"32CP+VCQ, Sharp Nagar, Nehru Nagar West, Coimbatore, Tamil Nadu 641048, India",Tamil Nadu,641048,13775,0,0,0,0,0,0,0,0,Coimbatore South,Coimbatore
SANTHIGIRI ASHRAM,"Ettumanoor, Kerala 686631, India",Kerala,686631,386654,420914,512892,257194,214168,91778,8200,0,0,Kottayam,Kottayam
SARASWATHI METAL WORKS,"Pallichal Rd, parry junction, Thoppumpady, Kochi, Kerala 682005, India",Kerala,682005,1024,703,985,231,1485,10026,29747,22426,12208,Kochi,Ernakulam
SARK SPICE PRODUCTS P. LTD.,"Neelamperoor - Kavalam Rd, Kavalam, Eara, Kerala 686534, India",Kerala,686534,114360,65456,51212,15151,18517,0,0,0,0,Kuttanad,Alappuzha
SARKAS GARMENTS COMPANY,"6, Thennampalayam Extension, Iind Street, Lind Street, Near TamilNadu Theatre, KPN Colony, Karuvampalayam, Tiruppur, Tamil Nadu 641604, India",Tamil Nadu,641604,37239,64556,45202,14210,4548,0,0,0,0,Tiruppur,Coimbatore
SCHOLAR KNIT FASHIONS,"Chinnakarai, Tiruppur, Murugampalayam, Tamil Nadu 641604, India",Tamil Nadu,641604,449,0,0,825,0,0,0,0,0,Tiruppur,Coimbatore
SCHUMAK EQUIPMENT (I)P.LTD.,"7/44, 1st St, industrial estate, Kanuvai, Coimbatore, Tamil Nadu 641108, India",Tamil Nadu,641108,61440,55982,59920,2280,25045,0,24997,24937,38829,Coimbatore North,Coimbatore
SEASON COIR EXPORTS,"CHINGOLI, P.O,KARTHIKAPALLY, Haripad, Karthikapally, Kerala 690532, India",Kerala,690532,684500,864350,1381875,1856433,1203571,1912359,1759803,2883676,6377557,Karthikappally,Alappuzha
SENOK EQUIPMENTS,"No.62, Krishnammal Street, KK Pudur, Kuppakonam Pudur, Coimbatore, Tamil Nadu 641038, India",Tamil Nadu,641038,7911,12022,0,11450,0,0,0,8304,29568,Coimbatore North,Coimbatore
SENTHIL PAPAIN & FOOD PRODUCT PVT LTD,"107-A, Senguptha Street, Ram Nagar, Annapoorna Layout, Coimbatore, Tamil Nadu 641009, India",Tamil Nadu,641009,8400,0,0,0,0,0,0,0,0,Coimbatore South,Coimbatore
SEPACK INDIA PVT LTD,"XII/293, Off, Chithrappuzha-Ponjassery Rd, Kizhakkambalam, Ernakulam, Kerala 683562, India",Kerala,683562,5618,1597,5313,19577,16093,16944,34502,14031,17718,Aluva,Ernakulam
SESHA EXPORTS,"8 3238 C, 8/3238B, 2nd St, Anna Nagar, Tiruppur, Tamil Nadu 641603, India",Tamil Nadu,641603,4805,3240,366,1530,318,10516,5827,12347,697,Tiruppur,Coimbatore
SEVANA PACKING,"Kizhakkambalam, Kochi, Kerala 680562, India",Kerala,680562,3861,0,0,0,0,0,0,0,0,Thrissur,Thrissur
SEVEN HILLS FASHIONS,"59G2+C3F, Kaalampalayam, Tiruppur, Tamil Nadu 641666, India",Tamil Nadu,641666,2608,7376,468,1378,3447,3850,13682,0,3731,Tirupur,Coimbatore
SHA APPARELS,"37, 60 Feet Rd, Kumarnathapuram, Tiruppur, Tamil Nadu 641602, India",Tamil Nadu,641602,3992,13026,0,0,0,0,0,0,0,Tiruppur,Coimbatore
SHAJI MOULDS AND PRODUCTS,"275/D1, KURUMBAN THOTTAM, 11 TH STREET, Sanganoor Rd, Ganapathy, Coimbatore, Tamil Nadu 641006, India",Tamil Nadu,641006,2223,0,0,12170,0,0,0,0,0,Coimbatore North,Coimbatore
SHAKTHI KNITTING P. LTD.,"3/606-C, Shakthi Centre Post, Nochipalayam Rd, Veerapandi, Tiruppur, Tamil Nadu 641605, India",Tamil Nadu,641605,15742,0,0,18439,322858,70775,332258,286973,233877,Kangayam,Erode
SHAMA EXPORTS & IMPORTS,"KINFRA Parks, Menamkulam, Kazhakuttom, HV26+R53, Pallithura, Thiruvananthapuram, Kerala 695586, India",Kerala,695586,35790,0,0,0,0,0,0,0,0,Thiruvananthapuram,Thiruvananthapuram
SHAMA EXPORTS P.LTD.,"KINFRA Parks, Menamkulam, Kazhakuttom, HV26+R53, Pallithura, Thiruvananthapuram, Kerala 695586, India",Kerala,695586,378556,296839,45349,0,0,0,0,0,0,Thiruvananthapuram,Thiruvananthapuram
SHARAFIYA TRADING,"Eriyad, Porur, Kerala 679328, India",Kerala,679328,91072,130225,164816,96762,119042,173892,251711,207219,141507,Nilambur,Malappuram
SHARO EXPORTS,"Door No. FC, Plot No: 50, Justice Rathinavel Pandian Rd, Golden George Nagar, Mogappair East, Chennai, Tamil Nadu 600050, India",Tamil Nadu,600050,299944,288362,176860,0,0,0,0,0,0,Ambattur,Tiruvallur
SHARON INSUL INDIA LTD.,"Kakkanad, 7/838(B, Seaport - Airport Rd, Vidya Nagar Colony, Thrikkakara, Kochi, Kerala 682021, India",Kerala,682021,560,0,0,0,273,231,0,0,107,Ernakulam,Ernakulam
SHARP KNIT FASHIONS,"No 12, Netaji Nagar, Karumarampalayam Road, 2nd Street Extension, Karumarpalayam, Mannarai, Tiruppur, Tamil Nadu 641607, India",Tamil Nadu,641607,9832,59399,104109,109968,122578,198492,52080,31763,63505,Tirupur,Coimbatore
SHERATONE ANTIQARTS,"Door number VI, 26, Jew Town Rd, Jew Town, Kappalandimukku, Mattancherry, Kochi, Kerala 682002, India",Kerala,682002,1725,125,670,400,0,300,0,1000,450,Kochi,Ernakulam
SHERTALLAI COIR MATS & MATTING CO.,"Cherthala, Kerala, India",Kerala,682024,5910,4793,2465,1184,2013,1125,2077,0,0,Ernakulam,Ernakulam
SHINY KNITWEAR,"24, Appachi Nagar Main Road, Appachi Nagar, Kongu Nagar, Tiruppur, Tamil Nadu 641607, India",Tamil Nadu,641607,496929,242575,186442,132296,192359,105832,106349,187006,161238,Tirupur,Coimbatore
SHREE A.R.S.KNITS,"Mahavishnu Nagar, Pitchampalayam Pudur, Tiruppur, Tamil Nadu 641603, India",Tamil Nadu,641603,199,249,413,0,0,349,3229,7775,0,Tiruppur,Coimbatore
SHRI SHAKTHI ASSOCIATES,"163/A, Thiruvenkatasamy Rd W, R.S. Puram, Coimbatore, Tamil Nadu 641002, India",Tamil Nadu,641002,109310,294088,1657250,3428453,489115,387778,266437,314856,133912,Coimbatore South,Coimbatore
SHRI SUBAM TEX,"SF No: 540/2, Ring Road, opp. Anbu Illam, Thirumurugan Poondi, A.Thirumuruganpoondi, Avinashi, Tamil Nadu 641652, India",Tamil Nadu,641652,8067,3130,0,22260,17663,30603,13832,0,9592,Tiruppur,Coimbatore
SIEGER SPINTECH EQUIPMENTS P.LTD.,"SF No. 49 Annur Road,, Arasur Post,, Coimbatore, Tamil Nadu 641107, India",Tamil Nadu,641107,55891,69154,78034,261156,32017,5481,114469,42109,49946,Coimbatore South,Coimbatore
SILVER STAR SEAFOODS LTD.,"V834+2GJ, Chandiroor, Kerala 688535, India",Kerala,688535,54700,0,0,102300,0,0,0,0,0,Cherthala,Alappuzha
SINICON CONTROLS P. LTD.,"Sinicon House"" , XVII/906, IDA, West, Kanjikode, Pudussery Central, Kerala 678623, India",Kerala,678623,143333,103528,85377,71354,35660,36741,46670,45380,54306,Palakkad,Palakkad
SIPCO CURIO,"6/207, AB Salem Rd, Jew Town, Kappalandimukku, Mattancherry, Kochi, Kerala 682002, India",Kerala,682002,100,0,0,40,0,0,0,0,0,Kochi,Ernakulam
SIVA APPARELS,"49Q7+MJQ, Nallathupalayam, Tiruppur, Tamil Nadu 641666, India",Tamil Nadu,641666,29781,32758,37248,3324,1635,13717,5740,11650,10151,Tirupur,Coimbatore
SIVA EXPORTS,"14, South St, Anuppanadi, Madurai, Tamil Nadu 625009, India",Tamil Nadu,625009,134368,79920,29040,14138,47340,0,23680,0,0,Madurai North,Madurai
SIVADAS TEXTILES,"FXCJ+788, Kaimanam, Pappanamcode, Thiruvananthapuram, Kerala 695018, India",Kerala,695018,55552,24217,36658,24298,35414,21914,60394,18775,44681,Thiruvananthapuram,Thiruvananthapuram
SKL EXPORTS,"SF. No. 396/2E, 295/1C, Post, Mahavishnu Nagar, Angeripalayam, Tiruppur, Tamil Nadu 641603, India",Tamil Nadu,641603,73252,116603,270002,133084,327908,355379,91447,283059,276294,Tiruppur,Coimbatore
SKYWALK EXPORTS,"71,PVG NAGAR, Samundipuram Main Rd, near HP Petrol Bunk, Valayankadu South, P V C Nagar, M.N.Sivasubramanian Nagar, Tiruppur, Tamil Nadu 641603, India",Tamil Nadu,641603,3759,0,0,0,0,0,0,0,0,Tiruppur,Coimbatore
SMARTO PRODUCTS,"Perumanoor P.K.Road, Chacola Colony, Thevara, Kochi, Kerala 682015, India",Kerala,682015,4028,2649,9142,2902,0,0,438,0,0,Ernakulam,Ernakulam
SNEGAM EXPORTS,"39R6+RQW, Pudur Rd, MR Nagar, K N P Colony, Pudur Privu, Tiruppur, Tamil Nadu 641605, India",Tamil Nadu,641605,7964,50929,8120,0,0,0,41681,0,0,Kangayam,Erode
SONA EXPORTERS,"P2MW+H75, Changaramkulam, Kerala 679591, India",Kerala,679591,615507,638491,538235,527126,572348,409197,385798,526980,546689,Ponnani,Malappuram
SOND KNIT GARMENTS,"02, Thabadar Thottam, Bharathi Nagar, Bharathi Nagar, KPN Colony, Valipalayam, Tiruppur, Tamil Nadu 641652, India",Tamil Nadu,641652,115417,176761,192912,158624,3590,7200,0,0,0,Tiruppur,Coimbatore
SONEX METAL COMBINES,"69VC+WV9, Service Rd, Naipunnya Nagar, Pongam, Kizhakkummuri, Angamaly, Kerala 680308, India",Kerala,680308,2920,0,20711,580,958,6195,3356,3080,250,Mukundapuram,Thrissur
SOUMYA PLASTICS,"Ollur Industrial Estate, Ollur, Thrissur, Kerala 680306, India",Kerala,680306,7112,9241,8109,6597,10955,6447,4028,5842,8689,Ollur,Thrissur
SOUPARNIKA EXPORT ENTERPRISES,"Decent Jun, Palathara, Kollam, Kerala 691577, India",Kerala,691577,1316224,1194790,1347292,1510501,1548960,1477802,1546514,1672437,2353694,Kollam,Kollam
SOUTH KERALA CASHEW EXPORTERS,"A-20, Mangadu Rd, Mangad, Kollam, Kerala 691015, India",Kerala,691015,700257,807483,867962,496890,803796,572732,516121,411147,516253,Kollam,Kollam
SOUTHERN CARBON AND CHEMICALS,"Vyloppilly Ln, Azad Road, Kaloor, Ernakulam, Kerala 682017, Kathrikadavu, Kaloor, Ernakulam, Kochi, Kerala 682017, India",Kerala,682017,100116,68200,367700,10000,70000,73200,0,0,0,Ernakulam,Ernakulam
SOUTHERN CASHEW EXPORTERS,"WJFQ+R27, Kilikkollur, Chandanathope, Kottamkara, Kerala 691004, India",Kerala,691004,688032,666304,915536,581388,577332,431727,542757,140625,32326,Kollam,Kollam
SOUTHERN COIR MILLS,"P.O. Cherthala, S.N.Puram, Cherthala, Kanjikkuzhi, Kerala 688582, India",Kerala,688582,54,885,2888,13509,1416,5071,3864,5201,2975,Cherthala,Alappuzha
SPECTRA ORGANICS,"1572, S Thamaraparambu Rd, Thamaraparambu, Fort Kochi, Kochi, Kerala 682001, India",Kerala,682001,825,2483,0,0,0,0,0,0,0,Kochi,Ernakulam
"SREE GANAPATH GAR,MENTS","26-B President Thottam Thottipalayam Pirivu, Civil Aerodrome Post, Karuparampalayam Pirvu, Coimbatore, Tamil Nadu 641014, India",Tamil Nadu,641014,6647,12197,1170,0,1211,0,7162,7531,4975,Coimbatore South,Coimbatore
SREE SAKTHI PAPER MILLS,"X78M+P3P, Paliyam Rd, Pallimukku, Ernakulam, Kochi, Kerala 682016, India",Kerala,682016,318145,0,0,0,0,0,0,0,0,Ernakulam,Ernakulam
SREE SANKARA AYURVEDA VAIDYASALA,"Mannam Rd, Changanassery, Kerala 686102, India",Kerala,686102,2488,2433,3176,400,2216,788,0,1477,478,Changanassery,Kottayam
SREE VALSA ENGINEERING WORKS,"36, Nanda Nagar Road, Singalluar, Singalluar, Coimbatore, Tamil Nadu 641005, India",Tamil Nadu,641005,1250,0,0,0,0,0,0,0,0,Coimbatore South,Coimbatore
SREEKANDHA WEAVING WORKS,"W942+CJF, Chirakkal, Kerala 670009, India",Kerala,670009,626,228,1290,873,466,175,663,1333,0,Kannur,Kannur
SRI ANURAGAVI GARMENTS,"48QM+8X9, Unnamed Road, Mahavishnu Nagar, Pitchampalayam Pudur, Tiruppur, Tamil Nadu 641603, India",Tamil Nadu,641603,72597,95809,43365,858,2878,22379,12815,76141,45988,Tiruppur,Coimbatore
SRI GARMENTS,"95, A, 8, Angeripalayam Main Rd, Mahavishnu Nagar, Pitchampalayam Pudur, Tiruppur, Tamil Nadu 641603, India",Tamil Nadu,641603,1054,8201,27233,58715,101204,22871,7366,955,17282,Tiruppur,Coimbatore
SRI KUMARAN FABS,"97A1, AMMAPALAYAM PIRIVU, Mangalam Rd, Palladam, Tamil Nadu 641664, India",Tamil Nadu,641664,3232,20415,0,0,0,0,0,0,0,Palladam,Coimbatore
SRI MURUGAN FOUNDRY EQUIPMENT,"12/3, Luna Nagar, Abbas Garden,, India, Edayarpalayam, Coimbatore, Tamil Nadu 641025, India",Tamil Nadu,641025,64570,0,117377,0,19755,0,0,0,0,Coimbatore North,Coimbatore
SRI RAMA MODERN RICE MILL,"Keranur, Chinnasalem, Tamil Nadu 606201, India",Tamil Nadu,606201,23000,24000,23976,0,24000,73100,50520,48000,76000,Kallakurichi,Villupuram
SRI SARAVANAA FABS,"22XP+PHF, NGP Nagar, Nehru Nagar West, Coimbatore, Tamil Nadu 641014, India",Tamil Nadu,641014,11375,63668,95686,67431,82707,21746,0,0,0,Coimbatore South,Coimbatore
SRI SRI CLOTHING,"56PW+C93, Sembianallur, Avinashi, Tamil Nadu 641654, India",Tamil Nadu,641654,2661,4949,3895,12067,20420,20637,8087,8854,0,Avinashi,Coimbatore
SRI VAARI EXPORTS,"A.P 1702, 15th West Cross St, MKB Nagar, Mahakavi Bharathiyar Nagar West, Mahakavi Bharathi Nagar, Vyasarpadi, Chennai, Tamil Nadu 600039, India",Tamil Nadu,600039,34275,59208,52107,11070,23848,8174,14035,9716,0,Tondiarpet Fort St George,Chennai
SRISTI GARMENTS,"Ring Road Housing Sector, Madhavaram, Chennai, Tamil Nadu 600060, India",Tamil Nadu,600060,22562,20741,6849,11538,14070,1203,9235,21038,5669,Ponneri,Tiruvallur
SSV EXPORTS,"First Floor Plot, 156, Madambakkam Main Rd, Maruthi Nagar, Madambakkam, Chennai, Tamil Nadu 600126, India",Tamil Nadu,600126,5200,0,0,0,0,0,0,0,0,Tambaram,Kanchipuram
