,Unnamed: 0,Address,pincode,Taluk,Districtname,statename,Latitude,Longitude
404,583,"Uliyakovil West, Uliyakovil, Kollam, Kerala 691019, India",691019,Kollam,Kollam,KERALA,8.903712925,76.613172375
409,590,"ARWA-B-29, Vishwam Nagar, Palluruthy, Kochi, Kerala 682006, India",682006,Kochi,Ernakulam,KERALA,9.917652551851852,76.27326455925926
410,591,"59M9+8X8, Angamaly South, Angamaly, Kerala 683573, India",683573,Aluva,Ernakulam,KERALA,10.180255566666666,76.38579883333334
411,592,"No. 1/511-A, 47, Old NH17, Kundannoor, Maradu, Ernakulam, Kochi, Kerala 682304, India",682304,Ernakulam,Ernakulam,KERALA,9.938877706666666,76.32558967666667
413,594,"mookkannoor, Angamaly, Mookkannoor, Kerala 683577, India",683577,Aluva,Ernakulam,KERALA,10.236465032954545,76.41597145568181
414,595,"Cholayil Tower, Parappur, Main Rd, Kottakkal, Kerala 676503, India",676503,Tirur,Malappuram,KERALA,10.998304046031746,76.01255696507937
415,597,"Kottakkal, Kerala, India",688534,Cherthla,Alappuzha,KERALA,9.871729377142858,76.30438504
416,598,"KINFRA FOOD PROCESSING PARK PLOT NO. 13-A & 12-B, Kakkanchery, Kerala 673635, India",673635,Tirurangadi,Malappuram,KERALA,51.479168,118.8666109
418,602,"Kakkodu, Punalur, Kerala 691331, India",691331,Pathanapuram,Kollam,KERALA,9.0145371,76.94054313
419,603,"18/24, Thoppumpady, Kochi, Kerala 682005, India",682005,Kochi,Ernakulam,KERALA,9.940253061111113,76.25960161388889
420,604,"Kuthiathodu, Kodamthuruth, Kerala, India",688534,Cherthla,Alappuzha,KERALA,9.871729377142858,76.30438504
421,605,"Kuttanad, Kuttanad Taluk, Kerala",688534,Cherthla,Alappuzha,KERALA,9.871729377142858,76.30438504
422,606,"2853+PHQ Kuttukaran Centre, Mamangalam - Anchumana Temple Rd, Sonia Nagar, Edappally, Kochi, Kerala 682025, India",682025,Ernakulam,Ernakulam,KERALA,10.000372668965516,76.30783643448275
426,612,"school padi, Pathapiriyam, Manjeri, Kerala 676123, India",676123,Ernad,Malappuram,KERALA,11.159140234246577,76.13659382465754
427,615,"Synagogue Ln, Jew Town, Kappalandimukku, Mattancherry, Kochi, Kerala 682002, India",682002,Kochi,Ernakulam,KERALA,9.957255232894736,76.25402236842105
429,620,"Industrial Estate, South Kalamassery, Kalamassery, Industrial Estate, South Kalamassery, Kalamassery, Kochi, Kerala 683104, India",683104,Kanayannur,Ernakulam,KERALA,10.057542963636363,76.31917809090909
434,626,"CMC-3/79H, Madakkan's Building, North of Manorama Junction, Cherthala, Velorvattom, Alappuzha, Cherthala, Kerala 688524, India",688524,Cherthala,Alappuzha,KERALA,9.6891011625,76.33285069583334
435,627,"34/1000, Old NH 47, Edappally Junction, Nethaji Nagar, Edappally, Kochi, Kerala 682024, India",682024,Ernakulam,Ernakulam,KERALA,10.01888763298969,76.30253450412371
446,648,"Jaihind Nagar Rd, Meprathupady, Vengola, Kerala 683556, India",683556,Kunnathunad,Ernakulam,KERALA,10.083125960465116,76.47373215813954
447,649,"Old Market Rd, Angamaly, Kerala 683572, India",683572,Paravur,Ernakulam,KERALA,10.193383310687024,76.38335938931299
448,651,"HB-07, Panampilly Nagar Ave, Main Avenue, Panampilly Nagar, Ernakulam, Kochi, Kerala 682036, India",682036,Ernakulam,Ernakulam,KERALA,9.959980295833333,76.29498357083334
453,658,"10/326,, Cheerankavu - Puthoor Rd, Kerala 691505, India",691505,Kottarakkara,Kollam,KERALA,8.989406912745098,76.7210242754902
454,660,"QV5R+P72, Thalapady JHC, Kinya, Kerala 575023, India",688524,Cherthala,Alappuzha,KERALA,9.6891011625,76.33285069583334
457,664,"38J8+87Q, Edayar, Kerala 683502, India",683502,Paravur,Ernakulam,KERALA,10.087692555555556,76.30506273333334
458,665,"South Vellarappilly P O, Aluva, Thekkumbhagom, Kerala 683580, India",683580,Aluva,Ernakulam,KERALA,10.13932176153846,76.40794163846154
459,666,"Maliyekkal, Kerala 676525, India",676525,Nilambur,Malappuram,KERALA,11.176431966666668,76.32507196
460,667,"Mudickal Perumbavoor, Ernakulam, Marampally, Kerala 683547, India",683547,Kunnathunad,Ernakulam,KERALA,10.091076425925923,76.43058615555556
464,671,"Jubilee Rd, Pallippuram, Angadipuram, Perintalmanna, Kerala 679322, India",679322,Perinthalmanna,Malappuram,KERALA,10.977929251428572,76.22854857333334
465,673,"Cherthala - Arookutty Rd, South, Poochakkal, Kerala 688526, India",688526,Cherthala,Alappuzha,KERALA,9.806103366981132,76.35243924716981
469,677,"B-32 KINFRA Industries Park, Nellad, Mazhuvannoor, Kerala 686669, India",686669,Kunnathunad,Ernakulam,KERALA,10.007340951592356,76.52786276496816
470,679,"IV/446A, Valavanadu, Pollathtai P.O, Kalavoor, Alappuzha, Kerala 688522, India",688522,Ambalapuzha,Alappuzha,KERALA,9.572168202777778,76.32190507222222
472,682,"Mayithara, Cherthala, Kerala, India",682002,Kochi,Ernakulam,KERALA,9.957255232894736,76.25402236842105
478,693,"2M5F+H2J, pulinthanam east-cheempara-mavudy Rd, Pothanicad, Kerala 686671, India",686671,Kothamangalam,Ernakulam,KERALA,10.007979096875,76.6938778125
481,697,"Varanam ,Puthanangadi, Krishnakripa, Cherthala, Kerala 688524, India",688524,Cherthala,Alappuzha,KERALA,9.6891011625,76.33285069583334
482,698,"2C5X+758, Engineering College Road, Kadayirippu, Kerala 682311, India",682311,Kunnathunad,Ernakulam,KERALA,9.986131800632911,76.47020598227847
486,702,"KINFRA Rd, Nellad, Mazhuvannoor, Kerala 686669, India",686669,Kunnathunad,Ernakulam,KERALA,10.007340951592356,76.52786276496816
487,704,"Oil Mill Road, Behind S&S Supermarket, SH 16 Erumathala P O, Chunangamveli Aluva, Aramanakkunnu, Edathala, Kochi, Kerala 683112, India",683112,Kunnathunad,Ernakulam,KERALA,10.08974094375,76.39621829375
488,705,"HP9G+9W5, NH183, Vazhoor, Kerala 686504, India",686504,Changanassery,Kottayam,KERALA,9.565303158928572,76.70881164821428
489,707,"ENKE Chambers, Gopala Prabhu Rd, Near MG Road, Shenoys, Kochi, Kerala 682035, India",682035,Ernakulam,Ernakulam,KERALA,9.979283159183671,76.28271734081633
491,709,"Tristen tower, Market Rd, Kombara, Kacheripady, Kochi, Kerala 682018, India",682018,Ernakulam,Ernakulam,KERALA,9.991596463636364,76.28133009181818
495,717,"kallungakadavu, channanicadu, GGWW+Q2V P.O, Kottayam, Kerala 686533, India",686533,Kottayam,Kottayam,KERALA,9.527813314285716,76.54438353571427
498,723,"Azizi Junction, MRT House, Social Welfare Technical School Rd, Aluva, Kerala 683101, India",683101,Aluva,Ernakulam,KERALA,10.095680780412373,76.36233782061856
499,724,"G8RH+V3F, National Highway 47, Pathirappally, Poomkavu, Alappuzha, Kerala 688521, India",688521,Ambalapuzha,Alappuzha,KERALA,9.534986122222222,76.3284427
502,730,"WJ7X+CF9, Thaha Jct Rd, Peroor, Kerala 691004, India",691004,Kollam,Kollam,KERALA,8.904030673684211,76.62197661052632
505,735,"Koovappady, Koodalapad, Perumbavoor, Koovappady, Kerala 683544, India",683544,Kunnathunad,Ernakulam,KERALA,10.166672573758866,76.50774667872341
506,736,"Pavizham Building, Koovappady, Kerala 683544, India",683544,Kunnathunad,Ernakulam,KERALA,10.166672573758866,76.50774667872341
507,737,"Narendran Polymers, Kalluvathukkal - Chirakkara Rd, Kalluvathukkal, Kerala 691578, India",691578,Kollam,Kollam,KERALA,8.833145,76.7392505375
508,738,"Narendran Rubbers, P.O, Chandanathope, Kottamkara, Kerala 691014, India",691014,Kollam,Kollam,KERALA,8.931472825,76.64248342222223
510,740,"near, Vazhicherry Rd, Vazhicherry Ward, Sea View Ward, Alappuzha, Kerala 688001, India",688001,Ambalapuzha,Alappuzha,KERALA,9.49638391904762,76.33209264761905
513,743,"40/4607C, Basin Rd, Market, Kochi, Kerala 682035, India",682035,Ernakulam,Ernakulam,KERALA,9.979283159183671,76.28271734081633
514,744,"WJ6W+JPW, Thaha Jct Rd, TKMC.P.O, Peroor, Kollam, Kerala 691004, India",691004,Kollam,Kollam,KERALA,8.904030673684211,76.62197661052632
515,745,"NAVEEN EXIM TRADE ASSOCIATES, 18/1082-D, Manayil, E.S.I ROAD, E.S.I. Rd, Palluruthy, Kochi, Kerala 682006, India",682006,Kochi,Ernakulam,KERALA,9.917652551851852,76.27326455925926
516,746,"12/597, Jawahar Rd, Koovapadam, Chullickal, Kochi, Kerala 682002, India",682002,Kochi,Ernakulam,KERALA,9.957255232894736,76.25402236842105
520,751,"CC 6/704, Bazaar Rd, Mattancherry, Kochi, Kerala 682002, India",682002,Kochi,Ernakulam,KERALA,9.957255232894736,76.25402236842105
523,758,"23, CSEZ, Kakkanad, Kochi, Kakkanad, Kerala 682030, India",682030,Ernakulam,Ernakulam,KERALA,51.13351584878049,133.02442981463415
526,761,"Nilamel, Kerala, India",682024,Ernakulam,Ernakulam,KERALA,10.01888763298969,76.30253450412371
529,764,"Pongamthanam, Vakathanam, Kerala 686538, India",686538,Changanassery,Kottayam,KERALA,9.508244727272729,76.56852196363636
534,772,"EP 9/92, 93, Lakshan Veedu Rd, Eramalloor, Ezhupunna, Kerala 688537, India",688537,Cherthala,Alappuzha,KERALA,9.82172572,76.30522974
537,776,"Industrial Development Plot, Nethaji Road, HG2H+43R, Poovanthuruthu, Kottayam, Kerala 686012, India",686012,Kottayam,Kottayam,KERALA,9.54856711111111,76.52230786666667
538,777,"X745+PW4, Synagogue Ln, Jew Town, Kappalandimukku, Mattancherry, Kochi, Kerala 682002, India",682002,Kochi,Ernakulam,KERALA,9.957255232894736,76.25402236842105
540,780,"29Q4+XG6, Kangarappady, Kochi, Kerala 682021, India",682021,Ernakulam,Ernakulam,KERALA,10.029233765060242,76.3353045433735
543,787,"A. S. Road, Kommady, Kaichoondi, Alappuzha, Aryad South, Kerala 688007, India",688007,Ambalapuzh A,Alappuzha,KERALA,9.510326070833331,76.3268778625
552,805,"East of NH, Pathirappally, Aikyabharatham, Alappuzha, Kerala 688521, India",688521,Ambalapuzha,Alappuzha,KERALA,9.534986122222222,76.3284427
554,807,"Pandikkad, Kerala 676521, India",676521,Ernad,Malappuram,KERALA,11.106106162790695,76.21800619534883
555,808,"17/34, Kuttoolangadi - Parammal Rd, Azhinjilam, Ramanattukara, Kozhikode, Kerala 673632, India",673632,Ernad,Malappuram,KERALA,51.5183605,118.3310501
556,810,"4CXG+Q99, Kanjoor, Kerala 683575, India",683575,Aluva,Ernakulam,KERALA,10.138994753191488,76.43064241702128
558,815,"N.H 17, Peruvaram Rd, near KALLARAKKAL TEMPLE, North Paravur, Kerala 683513, India",683513,Paravur,Ernakulam,KERALA,10.134285372463768,76.23096863043479
559,816,"Plassanal Pravithanam Rd, Nariyanganam, Kerala 686579, India",686579,Meenachil,Kottayam,KERALA,9.712446453333332,76.75880779333333
560,817,"Kochi,, V7PW+8X2, Aroor gram panchayat, Kochi, Kerala 688534, India",688534,Cherthla,Alappuzha,KERALA,9.871729377142858,76.30438504
565,823,"W9RF+FRJ, Thiruvankulam - Chottanikkara Rd, Thrippunithura, Thiruvankulam, Kochi, Kerala 682305, India",682305,Kanayannur,Ernakulam,KERALA,9.939008104761903,76.37087710158731
566,826,"HGQG+4R8, Vellapally Ln, Eerayil Kadavu, Kottayam, Kerala 686004, India",686004,Kottayam,Kottayam,KERALA,9.58203488,76.54092101
570,831,"Mini Industrial Estate, Manarcad, Kottayam, Manarcadu, Kerala 686019, India",686019,Kottayam,Kottayam,KERALA,9.592533289090907,76.58230555090908
573,836,"Valavanadu, P.O, Kalavoor, Alappuzha, Kerala 688522, India",688522,Ambalapuzha,Alappuzha,KERALA,9.572168202777778,76.32190507222222
574,838,"Ailara, Anchal, Kollam, Ayilara, Kerala 691001, India",691001,Kollam,Kollam,KERALA,8.886722971739129,76.59831395
575,839,"AS Road, 688 007, Kommady, Thumpoly, Alappuzha, Aryad South, Kerala 688008, India",688008,Ambalapuzha,Alappuzha,KERALA,9.521471733333334,76.3244164
579,846,"Poilakada Rd, Asramam, Kollam, Kerala 691001, India",691001,Kollam,Kollam,KERALA,8.886722971739129,76.59831395
583,853,"Kinfra Hi-Tech Park Main Rd, HMT Colony, North Kalamassery, HMT Kalamassery, Kochi, Kerala 683503, India",683503,Kanayannur,Ernakulam,KERALA,10.0582879625,76.337153153125
586,857,"R8Q5+8HG, Salem - Kochi Hwy, Chandiroor, Kerala 688535, India",688535,Cherthala,Alappuzha,KERALA,9.8564922,76.32294531666666
587,858,"Pallipuram p.o, Pallippuram Thycattussery Road, Pallipuram, Kerala 688541, India",688541,Cherthala,Alappuzha,KERALA,9.742432095238096,76.36193387142858
589,860,"R8F4+6MQ, Rd, Neendakara, Eramalloor, Ezhupunna, Kerala 688537, India",688537,Cherthala,Alappuzha,KERALA,9.82172572,76.30522974
590,861,"Premier Marine Foods, V835+8C7, National Highway 47, Chandiroor, Kochi, Kerala 688535, India",688535,Cherthala,Alappuzha,KERALA,9.8564922,76.32294531666666
593,864,"23/1804, Binny Rd, Vishwam Nagar, Palluruthy, Kochi, Kerala 682006, India",682006,Kochi,Ernakulam,KERALA,9.917652551851852,76.27326455925926
595,866,"X83H+P32, SH15, Chambakkara, Upasana Nagar, Vyttila, Kochi, Kerala 682304, India",682304,Ernakulam,Ernakulam,KERALA,9.938877706666666,76.32558967666667
600,875,"VI/35, Jew Town, Kappalandimukku, Mattancherry, Kochi, Kerala 682002, India",682002,Kochi,Ernakulam,KERALA,9.957255232894736,76.25402236842105
601,876,"No: 3, Balaji Street Bypass Road, M.M.C.Colony, MGM Nagar, Avaniyapuram, Tamil Nadu 12, India",688524,Cherthala,Alappuzha,KERALA,9.6891011625,76.33285069583334
605,880,"271/CMC 5, Nedumprakkad, P85X+MC8, Cherthala, Kerala 688524, India",688524,Cherthala,Alappuzha,KERALA,9.6891011625,76.33285069583334
606,881,"4F2Q+7GR, Vattakattupady, Perumbavoor, Kerala 683542, India",683542,Kunnathunad,Ernakulam,KERALA,10.114937405454544,76.47808056363637
612,888,"Beach Road, Valanjavazhy, Kerala 688005, India",688005,Ambalappuzha,Alappuzha,KERALA,9.40768399,76.351707025
615,893,"39PM+XQ2, Sanjo Gardens, Kulakkad, Kerala 683112, India",683112,Kunnathunad,Ernakulam,KERALA,10.08974094375,76.39621829375
618,897,"VHGX+VFG, KP Appan Rd, Kilikollore.P.O, Mundakkal Village, Kollam, Kerala 691001, India",691001,Kollam,Kollam,KERALA,8.886722971739129,76.59831395
619,898,"R8V5+M94, Chandiroor, Kerala 688535, India",688535,Cherthala,Alappuzha,KERALA,9.8564922,76.32294531666666
621,900,"Airapuram, Kerala 683556, India",683556,Kunnathunad,Ernakulam,KERALA,10.083125960465116,76.47373215813954
622,901,"Mattathil Muhamma, Aryakara, Alappuzha, Muhamma, Kerala 688525, India",688525,Cherthala,Alappuzha,KERALA,9.619357622727271,76.35883995454545
623,902,"W74W+75F, Aroor Thoppumpady Rd, NH 47, Bakery, Edakochi, Kochi, Kerala 682010, India",682010,Kochi,Ernakulam,KERALA,9.9107678,76.29057865833333
625,905,"22/1377, Old NH, Edakochi, Kochi, Kerala 682010, India",682010,Kochi,Ernakulam,KERALA,9.9107678,76.29057865833333
629,909,"G8CJ+JX3, Thalavady, Thiruvilak, Vyasapuram, Alappuzha, Aryad South, Kerala 688008, India",688008,Ambalapuzha,Alappuzha,KERALA,9.521471733333334,76.3244164
632,914,"Sai Buildings, Convent Road, T.D. Road, Convent Junction, Near Laboratory Junction, Shenoys, Kochi, Kerala 682011, India",682011,Ernakulam,Ernakulam,KERALA,9.989242117391305,76.29452373188406
636,923,"5VHR+J8C, Neelangoth, Kerala 673637, India",673637,Ernad,Malappuram,KERALA,11.173863454285714,75.90456773285715
637,924,"V7P6+FFH, SH66, Cheriakadavu, Kannamaly, Chellanam, Kochi, Kerala 682008, India",682008,Kochi,Ernakulam,KERALA,9.869597658064515,76.26596289354838
639,926,"WJ7W+J26, Peroor, Kottamkara, Kerala 691005, India",691005,Kollam,Kollam,KERALA,8.91188756590909,76.63882659886363
640,927,"Vikas Rd, Karuvelipady, Thoppumpady, Kochi, Kerala 682002, India",682002,Kochi,Ernakulam,KERALA,9.957255232894736,76.25402236842105
642,929,"Binanipuram, Edayar, Dubai, Kerala 683502, India",683502,Paravur,Ernakulam,KERALA,10.087692555555556,76.30506273333334
646,934,"W7M8+3R3, Thoppumpady, Kochi, Kerala 682005, India",682005,Kochi,Ernakulam,KERALA,9.940253061111113,76.25960161388889
647,935,"Aroor gram panchayat, Kochi, Kerala 688534, India",688534,Cherthla,Alappuzha,KERALA,9.871729377142858,76.30438504
648,936,"Sakthikulangara North, Kollam, Kerala 691581, India",691581,Kollam,Kollam,KERALA,8.928226436363635,76.54678488181818
650,939,"Ettumanoor, Kerala 686631, India",686631,Kottayam,Kottayam,KERALA,9.673597835897436,76.55975298397436
651,940,"Pallichal Rd, parry junction, Thoppumpady, Kochi, Kerala 682005, India",682005,Kochi,Ernakulam,KERALA,9.940253061111113,76.25960161388889
652,941,"Neelamperoor - Kavalam Rd, Kavalam, Eara, Kerala 686534, India",686534,Kuttanad,Alappuzha,KERALA,9.499139,76.50628865625
656,948,"CHINGOLI, P.O,KARTHIKAPALLY, Haripad, Karthikapally, Kerala 690532, India",690532,Karthikappally,Alappuzha,KERALA,9.244080327272728,76.45276533636364
659,951,"XII/293, Off, Chithrappuzha-Ponjassery Rd, Kizhakkambalam, Ernakulam, Kerala 683562, India",683562,Aluva,Ernakulam,KERALA,10.034164772289158,76.42900358072289
667,963,"Eriyad, Porur, Kerala 679328, India",679328,Nilambur,Malappuram,KERALA,11.18633303508772,76.23256802105263
669,965,"Kakkanad, 7/838(B, Seaport - Airport Rd, Vidya Nagar Colony, Thrikkakara, Kochi, Kerala 682021, India",682021,Ernakulam,Ernakulam,KERALA,10.029233765060242,76.3353045433735
671,970,"Door number VI, 26, Jew Town Rd, Jew Town, Kappalandimukku, Mattancherry, Kochi, Kerala 682002, India",682002,Kochi,Ernakulam,KERALA,9.957255232894736,76.25402236842105
672,971,"Cherthala, Kerala, India",682024,Ernakulam,Ernakulam,KERALA,10.01888763298969,76.30253450412371
678,981,"V834+2GJ, Chandiroor, Kerala 688535, India",688535,Cherthala,Alappuzha,KERALA,9.8564922,76.32294531666666
680,983,"6/207, AB Salem Rd, Jew Town, Kappalandimukku, Mattancherry, Kochi, Kerala 682002, India",682002,Kochi,Ernakulam,KERALA,9.957255232894736,76.25402236842105
686,992,"Perumanoor P.K.Road, Chacola Colony, Thevara, Kochi, Kerala 682015, India",682015,Ernakulam,Ernakulam,KERALA,9.948697107692308,76.29266132307693
688,997,"P2MW+H75, Changaramkulam, Kerala 679591, India",679591,Ponnani,Malappuram,KERALA,10.73268803809524,76.05281176666666
692,1003,"Decent Jun, Palathara, Kollam, Kerala 691577, India",691577,Kollam,Kollam,KERALA,8.896176114285716,76.66051566785714
693,1004,"A-20, Mangadu Rd, Mangad, Kollam, Kerala 691015, India",691015,Kollam,Kollam,KERALA,8.910343165384615,76.6223384
694,1005,"Vyloppilly Ln, Azad Road, Kaloor, Ernakulam, Kerala 682017, Kathrikadavu, Kaloor, Ernakulam, Kochi, Kerala 682017, India",682017,Ernakulam,Ernakulam,KERALA,9.994298565853658,76.29345620243902
695,1006,"WJFQ+R27, Kilikkollur, Chandanathope, Kottamkara, Kerala 691004, India",691004,Kollam,Kollam,KERALA,8.904030673684211,76.62197661052632
696,1007,"P.O. Cherthala, S.N.Puram, Cherthala, Kanjikkuzhi, Kerala 688582, India",688582,Cherthala,Alappuzha,KERALA,9.632050252,76.314780238
697,1008,"1572, S Thamaraparambu Rd, Thamaraparambu, Fort Kochi, Kochi, Kerala 682001, India",682001,Kochi,Ernakulam,KERALA,9.961975513432836,76.24336774328359
699,1011,"X78M+P3P, Paliyam Rd, Pallimukku, Ernakulam, Kochi, Kerala 682016, India",682016,Ernakulam,Ernakulam,KERALA,9.965396735294116,76.28713604901961
700,1012,"Mannam Rd, Changanassery, Kerala 686102, India",686102,Changanassery,Kottayam,KERALA,9.43689048275862,76.53501334137931
713,1032,"2PX7+7GC, Puthoor, Kerala 691507, India",691507,Kottarakkara,Kollam,KERALA,9.043139252830189,76.7161006773585
714,1034,"2PQ6+2JG, Thekkumpuram Puthoor PO Kottarakara, Puthoor, Kerala 691507, India",691507,Kottarakkara,Kollam,KERALA,9.043139252830189,76.7161006773585
716,1037,"St.Mary's Cashew Factory, Kottarakkara Sasthamcotta Rd, Puthoor, Kerala 691507, India",691507,Kottarakkara,Kollam,KERALA,9.043139252830189,76.7161006773585
717,1039,"2X3J+7GF, Kollam - Tenkasi Rd, Edamon Sathram, Edamon, Kerala 691307, India",691307,Pathanapuram,Kollam,KERALA,8.991363025,76.993489925
718,1040,"WP95+FRF, Nallila Rd, Puliyila, Kerala 691515, India",691515,Kollam,Kollam,KERALA,8.927581720930233,76.71007295116279
727,1051,"383G+HXF, Kairali Nagar, South Kalamassery, HMT Kalamassery, Kochi, Kerala 682022, India",682022,Ernakulam,Ernakulam,KERALA,10.045582269230769,76.34736526153846
733,1059,"Pandit Karuppan Rd, Mattummal Junction, Mattummal, Thevara, Kochi, Kerala 682013, India",682013,Ernakulam,Ernakulam,KERALA,9.939321175,76.29993070833333
737,1065,"5FF3+V99, Mekalady, Kalady, Kerala 683574, India",683574,Aluva,Ernakulam,KERALA,10.182817160958905,76.45845344931507
742,1070,"3rd Floor, Syda Building,Kochi, Kaloor - Kadavanthara Rd, Kaloor, Ernakulam, Kochi, Kerala 682017, India",682017,Ernakulam,Ernakulam,KERALA,9.994298565853658,76.29345620243902
746,1076,"Aryakara, Muhamma, Kerala 688525, India",688525,Cherthala,Alappuzha,KERALA,9.619357622727271,76.35883995454545
747,1077,"Industrial Development Plot, PO, Poovanthuruthu, Kottayam, Kerala 686012, India",686012,Kottayam,Kottayam,KERALA,9.54856711111111,76.52230786666667
748,1078,"ID Plot, Poovanthuruthu, Kottayam, Kerala 686012, India",686012,Kottayam,Kottayam,KERALA,9.54856711111111,76.52230786666667
750,1081,"FIRST FLOOR, TVJ ESTATE, 1516E NHG LANE, LPS Rd, Ponnurunni, Vyttila, Kochi, Kerala 682019, India",682019,Ernakulam,Ernakulam,KERALA,9.96996995974026,76.31541058961038
751,1082,"Kinfra Biotechnology And Industrial Zone, Medical College - NAD Road, HMT Colony, North Kalamassery, Kalamassery, Kalamassery, Kochi, Kochi, Kerala 683503, India",683503,Kanayannur,Ernakulam,KERALA,10.0582879625,76.337153153125
752,1083,"Thalavady Rd, Thalavady, Aikyabharatham, Alappuzha, Aryad South, Kerala 688006, India",688006,Ambalapuzha,Alappuzha,KERALA,9.525584704,76.338968536
753,1085,"3GHV+626, Methala, Rayamangalam, Kerala 683545, India",683545,Kunnathunad,Ernakulam,KERALA,10.109719963636364,76.52310976666666
755,1087,"Tamil Nadu, India",688534,Cherthla,Alappuzha,KERALA,9.871729377142858,76.30438504
756,1088,"KP Road, WJ5C+95H, Kilikolloor, Mangad, Kollam, Kerala 691004, India",691004,Kollam,Kollam,KERALA,8.904030673684211,76.62197661052632
757,1089,"HG2G+QPW, Unnamed Road, Poovanthuruthu, Kerala 686012, India",686012,Kottayam,Kottayam,KERALA,9.54856711111111,76.52230786666667
758,1090,"X759+6R8, Willingdon Island, Kochi, Kerala 682003, India",682003,Kochi,Ernakulam,KERALA,9.960447846153846,76.27093469230769
760,1095,"Pattanakad, P.O, Cherthala, Pattanakkad, Kerala 688531, India",688531,Cherthala,Alappuzha,KERALA,9.725622914130437,76.31563821847826
761,1096,"59RJ+3WP, Unnamed Road, Angamaly, Kerala 683572, India",683572,Paravur,Ernakulam,KERALA,10.193383310687024,76.38335938931299
767,1105,"V7QW+9J8, Aroor gram panchayat, Kochi, Kerala 688534, India",688534,Cherthla,Alappuzha,KERALA,9.871729377142858,76.30438504
771,1112,"R8P3+PJM Aroor gram panchayat, Chandiroor, Kochi, Kerala 688534, India",688534,Cherthla,Alappuzha,KERALA,9.871729377142858,76.30438504
775,1120,"2nd Floor, Cherupushpam Building, Near ICICI Bank, Opp M. G. Road, Shipyard Quarters Road, Cheriyakadavanthra, Atlantis, Ravipuram, Panampilly Nagar, Kochi, Kerala 682015, India",682015,Ernakulam,Ernakulam,KERALA,9.948697107692308,76.29266132307693
776,1121,"Coir Park, Thiruvizha North Road, Mayithara, Cherthala, Cherthala South, Kerala 688539, India",688539,Cherthala,Alappuzha,KERALA,9.66428288888889,76.34121377777778
777,1122,"327G+XWF, Oorakam, Kerala 676519, India",676519,Ernad,Malappuram,KERALA,11.05071221125,76.03817599
779,1127,"HQCR+3V5, Kanjirappally, Kerala 686507, India",686507,Kanjirappally,Kottayam,KERALA,9.558497567123288,76.79145172602739
781,1129,"WHHV+XV8, Neeravil, Kerala 691601, India",691601,Kollam,Kollam,KERALA,8.937750675,76.6044615125
785,1136,"A.S Road, Kommady, Alappuzha, Aryad South, Kerala 688007, India",688007,Ambalapuzh A,Alappuzha,KERALA,9.510326070833331,76.3268778625
786,1138,"Nilgiris, Tamil Nadu, India",682024,Ernakulam,Ernakulam,KERALA,10.01888763298969,76.30253450412371
787,1139,"VIII/946 Navaratna House Jawahar Road, Pandikudi Rd, Pandikudy, Shanthi Nagar Housing Colony, Mattancherry, Kochi, Kerala 682002, India",682002,Kochi,Ernakulam,KERALA,9.957255232894736,76.25402236842105
798,1155,"P.O,Pin-688525, Muhamma, Kerala 688538, India",688525,Cherthala,Alappuzha,KERALA,9.619357622727271,76.35883995454545
807,1169,"Neendakara, Kollam, Kerala 691582, India",691582,Karunagapally,Kollam,KERALA,8.9475339,76.53934165
808,1171,"5/124-B,Erumathala P.O, Nalamile, Edathala, Aluva, Kerala 683112, India",683112,Kunnathunad,Ernakulam,KERALA,10.08974094375,76.39621829375
809,1172,"Vettoor-cherunniyoor, Kerala, India",682024,Ernakulam,Ernakulam,KERALA,10.01888763298969,76.30253450412371
811,1175,"Manarcadu Thengana Road, Thalappady, Kottayam, Kerala 686019, India",686019,Kottayam,Kottayam,KERALA,9.592533289090907,76.58230555090908
812,1176,"41/2797, Chittoor Rd, Kacheripady, Ernakulam, Kochi, Kerala 682018, India",682018,Ernakulam,Ernakulam,KERALA,9.991596463636364,76.28133009181818
819,1184,"Plot 45/25, MLA Rd, CSEZ, Kakkanad, Kochi, Kakkanad, Kerala 682037, India",682037,Ernakulam,Ernakulam,KERALA,9.997384706451612,76.34072476129032
820,1185,"Kalavamkodam, Cherthala, Cherthala, Kerala 688536, India",688536,Cherthala,Alappuzha,KERALA,9.717896142424244,76.3362480181818
826,1197,"23/575, Kattakayam Rd, Pala, Kerala 686575, India",686575,Meenachil,Kottayam,KERALA,9.719589849206349,76.68607506666666
828,1200,"Kinfra Park Kakkanad, Infopark Campus, Kochi, Kakkanad, Kerala 682042, India",682042,Kanayannur,Ernakulam,KERALA,10.009905475,76.362559725
829,1201,"Zehra Trading Co, Jew Town Road, Kappalandimukku, Mattancherry, Kochi, Kerala, Marakkadavu, Kappalandimukku, Mattancherry, Kochi, Kerala 682002, India",682002,Kochi,Ernakulam,KERALA,9.957255232894736,76.25402236842105
830,1202,"Coimbatore, Tamil Nadu, India",682002,Kochi,Ernakulam,KERALA,9.957255232894736,76.25402236842105
833,1209,"IX/338, Bank Rd, Aluva, Kochi, Aluva, Kerala 683101, India",683101,Aluva,Ernakulam,KERALA,10.095680780412373,76.36233782061856
839,1216,"VI/1017/22,47,EZHAVA SAMAJAM SHOPPING COMPLEX, North Paravur, Kerala 683513, India",683513,Paravur,Ernakulam,KERALA,10.134285372463768,76.23096863043479
